NOME COMANDO,QUADRO,script,ENDERE€O IP,TŸPICO/ENDERE€O MAC,PORTA,script,LIGADO/DESLIGADO,MENSAGEM
LIGAR Ilum Deck Piscina 1 QDLE LAZ A,QDLE LAZ A,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0002B5E2AE/,14, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Deck Piscina 2 QDLE LAZ A,QDLE LAZ A,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0002B5E2AE/,15, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Piscina QDLE LAZ A,QDLE LAZ A,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0002B5E2AE/,16, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Piscina Infantil QDLE LAZ A,QDLE LAZ A,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0002B5E2AE/,17, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Hidromassagem QDLE LAZ A,QDLE LAZ A,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0002B5E2AE/,18, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Jardim Externo Parte A QDLE 1PV A,QDLE 1PV A,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0003092633/,1, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Externa Parte A QDLE 1PV A,QDLE 1PV A,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0003092633/,2, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Jardim Externo Parte B QDLE 1PV B,QDLE 1PV B,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0002B5D8E1/,1, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Externa Parte B QDLE 1PV B,QDLE 1PV B,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0002B5D8E1/,2, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Jardim Terraco Parte B 1 QDLE LAZ B,QDLE LAZ B,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0003BFFFEC/,17, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Jardim Terraco Parte B 2 QDLE LAZ B,QDLE LAZ B,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0003BFFFEC/,18, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Postes Parte B 2 QDLE LAZ B,QDLE LAZ B,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0003BFFFEC/,19, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Jardim Lazer Parte B 1 QDLE LAZ B,QDLE LAZ B,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0003BFFFEC/,20, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Jardim Lazer Parte B 2 QDLE LAZ B,QDLE LAZ B,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0003BFFFEC/,21, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Playground 1 QDLE LAZ B,QDLE LAZ B,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0003BFFFEC/,22, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Playground 2 QDLE LAZ B,QDLE LAZ B,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0003BFFFEC/,23, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Rampa Entrada Veiculos QDLE LAZ B ,QDLE LAZ B,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0003BFFFEC/,24, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Rampa Saida Veiculos QDLE LAZ B,QDLE LAZ B,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0003BFFFEC/,25, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Terraco Lazer 1 QDLE LAZ B,QDLE LAZ B,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0003BFFFEC/,26, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Terraco Lazer 2 QDLE LAZ B,QDLE LAZ B,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F0003BFFFEC/,27, -m,"""1""","echo ""Comando enviado!"""
LIGAR Ilum Externa QDLE SF,QDLE SF,mosquitto_pub -h,192.168.1.203,-t gw/000D6F001665B3D5/onoffcmd/000D6F00042C6A70/,1, -m,"""1""","echo ""Comando enviado!"""
